case_name,gt_instances,pred_instances,true_positives,false_positives,false_negatives,recognition_quality_f1,global_dice_bin,mean_iou,std_iou,mean_dice,std_dice,mean_assd,std_assd,mean_rvd,std_rvd
case_00501,2,3,0,0,0,0.8,0.8640458217268014,0.7857986694024747,0.0,0.8800529229483653,0.0,1.6088524383192353,0.0,-0.13440005443927547,0.0
case_00502,3,3,0,0,0,1.0,0.9219667898879996,0.8620837976247525,0.0,0.9259344812778182,0.0,1.2392190039211166,0.0,0.08024110062629403,0.0
case_00503,3,3,0,0,0,1.0,0.5884722069862562,,,,,,,,
case_00504,3,3,0,0,0,1.0,0.9477828416154832,0.8794346674024809,0.0,0.9358502135303541,0.0,1.2805881126544008,0.0,0.06867042883845366,0.0
case_00505,3,3,0,0,0,1.0,0.93630692959723,0.9099349092858507,0.0,0.9528438952153475,0.0,2.6184836276087173,0.0,0.03410560026600225,0.0
case_00506,3,3,0,0,0,1.0,0.8393530416583309,0.7116971558285485,0.0,0.8315690113816319,0.0,1.3159663003245663,0.0,-0.24156544283568473,0.0
case_00507,3,3,0,0,0,1.0,0.8924463240321141,0.7416691263282172,0.0,0.8516762628637764,0.0,1.0578610821303354,0.0,-0.06962346244438629,0.0
case_00508,3,3,0,0,0,1.0,0.8407875240615454,0.6041902374305086,0.0,0.7532650721005043,0.0,1.2146505933046476,0.0,0.18469826630603467,0.0
case_00509,3,0,0,0,0,0.0,0.0,0.0,,0.0,,inf,,,
case_00510,3,3,0,0,0,1.0,0.9572422940164564,0.6593175970484093,0.1438380816644111,0.7855595607932522,0.1052738688373514,5.03726546953459,2.008048638065983,-0.1281714443693034,0.32470106078907535
case_00511,3,2,0,0,0,0.8,0.9257897339956562,0.8520358691209822,0.0,0.9201073082082125,0.0,0.7233021132082746,0.0,0.061843713477682916,0.0
case_00512,3,3,0,0,0,1.0,0.7492200202135607,0.571841397369942,0.0,0.7276069943529497,0.0,1.971853739553978,0.0,-0.373784723503835,0.0
case_00513,3,3,0,0,0,1.0,0.9385663473382931,0.7365881413981712,0.11971088508048161,0.8428175520443292,0.07976982667452737,21.291438977571236,19.424910905795716,0.1453446266240942,0.09380940422812434
case_00514,3,3,0,0,0,1.0,0.6667053689985877,,,,,,,,
case_00515,3,3,0,0,0,1.0,0.004167463876352376,,,,,,,,
case_00516,2,0,0,0,0,0.0,0.0,0.0,,0.0,,inf,,,
case_00517,2,1,0,0,0,0.6666666666666666,0.5528717684969321,,,,,,,,
case_00518,2,3,0,0,0,0.8,0.8408703610997336,0.6953922267043692,0.0,0.820331974809304,0.0,2.18559794726575,0.0,-0.16083196631930288,0.0
case_00519,3,3,0,0,0,1.0,0.566131615604653,0.5501057594939184,0.0,0.7097654545500405,0.0,7.911129504803602,0.0,-0.3613936475790953,0.0
case_00520,2,3,0,0,0,0.8,0.792953586835597,0.6324603753875411,0.0,0.7748554083432463,0.0,1.6352161729877985,0.0,-0.27306278290559544,0.0
case_00521,3,1,0,0,0,0.5,0.5960089201313996,,,,,,,,
case_00522,3,2,0,0,0,0.8,0.12924466667695522,,,,,,,,
case_00523,3,3,0,0,0,1.0,0.9313287068233729,0.6635873981370618,0.030284416516280332,0.797380279611044,0.021892830255709317,3.3615023980306713,0.3759203477026285,-0.07749631443012284,0.1973710575556733
case_00524,2,1,0,0,0,0.6666666666666666,0.8077650205192051,0.6696472772277228,0.0,0.8021422085503029,0.0,1.459358015609569,0.0,-0.3031303554863764,0.0
case_00525,2,3,0,0,0,0.8,0.953975376251674,0.8202158745393826,0.08716888294763797,0.8987035309638446,0.052740328409866644,5.307385488440737,4.2893312134976025,0.04050846834803775,0.01687637306584178
case_00526,3,3,0,0,0,1.0,0.9388524972484646,0.7066875216786062,0.01812785258203803,0.8280070960121426,0.01244850877551995,4.212249193291809,0.30727834294382994,-0.06372872849896877,0.15950736806089097
case_00527,3,3,0,0,0,1.0,0.586039281266469,,,,,,,,
case_00528,2,1,0,0,0,0.6666666666666666,0.1817466165058887,,,,,,,,
case_00529,3,3,0,0,0,1.0,0.5058529442696157,,,,,,,,
case_00530,3,3,0,0,0,1.0,0.9378968485242603,0.7291021737875136,0.009585867674847592,0.8432948031889878,0.0064125897957499345,2.62007711537063,0.24821969007179812,0.04815547704612898,0.06468045047864758
case_00531,3,1,0,0,0,0.5,0.12726438978524665,,,,,,,,
case_00532,3,3,0,0,0,1.0,0.96225170688373,0.6951459291675008,0.1626046068534513,0.8092036409974941,0.1142255486483198,2.8141610975576294,1.6337919299144577,0.12484307291419905,0.050376868434774576
case_00533,2,3,0,0,0,0.8,0.9513460083764521,0.8333553877332827,0.047261842470364634,0.9083785946797255,0.028140773600535796,4.786312921414339,3.672477563619507,0.054586205202433,0.08480632804719339
case_00534,2,3,0,0,0,0.8,0.8951462367139327,0.6728129898585946,0.14728542008323714,0.7950682258823112,0.10609009112104378,1.3024659830541245,0.42314893679467025,-0.29901291877263386,0.1683300653832991
